ward_id,prov,ward_name,timestamp,rain_mm_idw
TP Huế | Chân Mây - Lăng Cô,TP Huế,Chân Mây - Lăng Cô,2025-11-15 19:00,1.687299554
TP Huế | Dương Nỗ,TP Huế,Dương Nỗ,2025-11-15 19:00,1.210279284
TP Huế | Hóa Châu,TP Huế,Hóa Châu,2025-11-15 19:00,1.191615029
TP Huế | Hưng Lộc,TP Huế,Hưng Lộc,2025-11-15 19:00,2.463881683
TP Huế | Hương An,TP Huế,Hương An,2025-11-15 19:00,1.193072257
TP Huế | Hương Thủy,TP Huế,Hương Thủy,2025-11-15 19:00,1.227964868
TP Huế | Hương Trà,TP Huế,Hương Trà,2025-11-15 19:00,1.319351894
TP Huế | Khe Tre,TP Huế,Khe Tre,2025-11-15 19:00,1.693890367
TP Huế | Kim Long,TP Huế,Kim Long,2025-11-15 19:00,1.296325011
TP Huế | Kim Trà,TP Huế,Kim Trà,2025-11-15 19:00,1.178137809
TP Huế | Lộc An,TP Huế,Lộc An,2025-11-15 19:00,4.114618297
TP Huế | Mỹ Thượng,TP Huế,Mỹ Thượng,2025-11-15 19:00,1.104844499
TP Huế | Phong Thái,TP Huế,Phong Thái,2025-11-15 19:00,1.612195081
TP Huế | Phong Điền,TP Huế,Phong Điền,2025-11-15 19:00,1.914733655
TP Huế | Phú Bài,TP Huế,Phú Bài,2025-11-15 19:00,1.619883345
TP Huế | Phú Hồ,TP Huế,Phú Hồ,2025-11-15 19:00,1.052117054
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 19:00,4.765694883
TP Huế | Phú Vang,TP Huế,Phú Vang,2025-11-15 19:00,2.258309483
TP Huế | Phú Vinh,TP Huế,Phú Vinh,2025-11-15 19:00,1.682943412
TP Huế | Phú Xuân,TP Huế,Phú Xuân,2025-11-15 19:00,1.191262781
TP Huế | Thanh Thủy,TP Huế,Thanh Thủy,2025-11-15 19:00,1.106782408
TP Huế | Thuận An,TP Huế,Thuận An,2025-11-15 19:00,1.390369384
TP Huế | Thuận Hóa,TP Huế,Thuận Hóa,2025-11-15 19:00,1.195355444
TP Huế | Thủy Xuân,TP Huế,Thủy Xuân,2025-11-15 19:00,1.148999953
TP Huế | Vinh Lộc,TP Huế,Vinh Lộc,2025-11-15 19:00,3.179690871
TP Huế | Vỹ Dạ,TP Huế,Vỹ Dạ,2025-11-15 19:00,1.108504604
TP Đà Nẵng | An Hải,TP Đà Nẵng,An Hải,2025-11-15 19:00,1.297679982
TP Đà Nẵng | An Khê,TP Đà Nẵng,An Khê,2025-11-15 19:00,1.310617072
TP Đà Nẵng | An Thắng,TP Đà Nẵng,An Thắng,2025-11-15 19:00,2.186917702
TP Đà Nẵng | Cẩm Lệ,TP Đà Nẵng,Cẩm Lệ,2025-11-15 19:00,1.492141628
TP Đà Nẵng | Duy Xuyên,TP Đà Nẵng,Duy Xuyên,2025-11-15 19:00,1.085719191
TP Đà Nẵng | Gò Nổi,TP Đà Nẵng,Gò Nổi,2025-11-15 19:00,1.734161791
TP Đà Nẵng | Hiệp Đức,TP Đà Nẵng,Hiệp Đức,2025-11-15 19:00,1.111100392
TP Đà Nẵng | Hòa Cường,TP Đà Nẵng,Hòa Cường,2025-11-15 19:00,1.336517851
TP Đà Nẵng | Hòa Tiến,TP Đà Nẵng,Hòa Tiến,2025-11-15 19:00,1.379124434
TP Đà Nẵng | Hòa Xuân,TP Đà Nẵng,Hòa Xuân,2025-11-15 19:00,1.69763143
TP Đà Nẵng | Hải Châu,TP Đà Nẵng,Hải Châu,2025-11-15 19:00,1.071302992
TP Đà Nẵng | Hội An,TP Đà Nẵng,Hội An,2025-11-15 19:00,1.413977236
TP Đà Nẵng | Hội An Tây,TP Đà Nẵng,Hội An Tây,2025-11-15 19:00,1.822584224
TP Đà Nẵng | Hội An Đông,TP Đà Nẵng,Hội An Đông,2025-11-15 19:00,1.307353385
TP Đà Nẵng | Lãnh Ngọc,TP Đà Nẵng,Lãnh Ngọc,2025-11-15 19:00,2.389714623
TP Đà Nẵng | Nam Phước,TP Đà Nẵng,Nam Phước,2025-11-15 19:00,1.222722162
TP Đà Nẵng | Ngũ Hành Sơn,TP Đà Nẵng,Ngũ Hành Sơn,2025-11-15 19:00,1.741988206
TP Đà Nẵng | Phước Năng,TP Đà Nẵng,Phước Năng,2025-11-15 19:00,1.041964343
TP Đà Nẵng | Phước Trà,TP Đà Nẵng,Phước Trà,2025-11-15 19:00,1.266770915
TP Đà Nẵng | Sơn Cẩm Hà,TP Đà Nẵng,Sơn Cẩm Hà,2025-11-15 19:00,1.480416242
TP Đà Nẵng | Sơn Trà,TP Đà Nẵng,Sơn Trà,2025-11-15 19:00,2.056023643
TP Đà Nẵng | Thu Bồn,TP Đà Nẵng,Thu Bồn,2025-11-15 19:00,2.118614244
TP Đà Nẵng | Thạnh Bình,TP Đà Nẵng,Thạnh Bình,2025-11-15 19:00,1.247504742
TP Đà Nẵng | Trà My,TP Đà Nẵng,Trà My,2025-11-15 19:00,1.247028887
TP Đà Nẵng | Tân Hiệp,TP Đà Nẵng,Tân Hiệp,2025-11-15 19:00,1.55518326
TP Đà Nẵng | Vu Gia,TP Đà Nẵng,Vu Gia,2025-11-15 19:00,1.35467907
TP Đà Nẵng | Điện Bàn,TP Đà Nẵng,Điện Bàn,2025-11-15 19:00,2.174041078
TP Đà Nẵng | Điện Bàn Bắc,TP Đà Nẵng,Điện Bàn Bắc,2025-11-15 19:00,1.96304865
TP Đà Nẵng | Điện Bàn Tây,TP Đà Nẵng,Điện Bàn Tây,2025-11-15 19:00,1.828868187
TP Đà Nẵng | Điện Bàn Đông,TP Đà Nẵng,Điện Bàn Đông,2025-11-15 19:00,2.052727766
TP Đà Nẵng | Đại Lộc,TP Đà Nẵng,Đại Lộc,2025-11-15 19:00,1.694699526
TP Huế | A Lưới 2,TP Huế,A Lưới 2,2025-11-15 20:00,1.026233098
TP Huế | A Lưới 3,TP Huế,A Lưới 3,2025-11-15 20:00,1.266122259
TP Huế | A Lưới 4,TP Huế,A Lưới 4,2025-11-15 20:00,1.083022373
TP Huế | A Lưới 5,TP Huế,A Lưới 5,2025-11-15 20:00,1.732059581
TP Huế | An Cựu,TP Huế,An Cựu,2025-11-15 20:00,2.148432494
TP Huế | Bình Điền,TP Huế,Bình Điền,2025-11-15 20:00,1.874404247
TP Huế | Chân Mây - Lăng Cô,TP Huế,Chân Mây - Lăng Cô,2025-11-15 20:00,1.340446411
TP Huế | Dương Nỗ,TP Huế,Dương Nỗ,2025-11-15 20:00,1.52314106
TP Huế | Hóa Châu,TP Huế,Hóa Châu,2025-11-15 20:00,1.536642087
TP Huế | Hưng Lộc,TP Huế,Hưng Lộc,2025-11-15 20:00,3.183010503
TP Huế | Hương An,TP Huế,Hương An,2025-11-15 20:00,1.450791216
TP Huế | Hương Thủy,TP Huế,Hương Thủy,2025-11-15 20:00,1.38069718
TP Huế | Hương Trà,TP Huế,Hương Trà,2025-11-15 20:00,1.255659351
TP Huế | Khe Tre,TP Huế,Khe Tre,2025-11-15 20:00,1.993711901
TP Huế | Kim Long,TP Huế,Kim Long,2025-11-15 20:00,1.956921304
TP Huế | Kim Trà,TP Huế,Kim Trà,2025-11-15 20:00,1.08942133
TP Huế | Lộc An,TP Huế,Lộc An,2025-11-15 20:00,3.860261273
TP Huế | Mỹ Thượng,TP Huế,Mỹ Thượng,2025-11-15 20:00,1.40681074
TP Huế | Phú Bài,TP Huế,Phú Bài,2025-11-15 20:00,2.24889383
TP Huế | Phú Hồ,TP Huế,Phú Hồ,2025-11-15 20:00,1.301556153
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 20:00,3.439204117
TP Huế | Phú Vang,TP Huế,Phú Vang,2025-11-15 20:00,2.116745379
TP Huế | Phú Vinh,TP Huế,Phú Vinh,2025-11-15 20:00,1.51379487
TP Huế | Phú Xuân,TP Huế,Phú Xuân,2025-11-15 20:00,1.808666015
TP Huế | Thanh Thủy,TP Huế,Thanh Thủy,2025-11-15 20:00,1.666442529
TP Huế | Thuận An,TP Huế,Thuận An,2025-11-15 20:00,1.017092988
TP Huế | Thuận Hóa,TP Huế,Thuận Hóa,2025-11-15 20:00,1.710156139
TP Huế | Thủy Xuân,TP Huế,Thủy Xuân,2025-11-15 20:00,1.918405984
TP Huế | Vinh Lộc,TP Huế,Vinh Lộc,2025-11-15 20:00,2.202940795
TP Huế | Vỹ Dạ,TP Huế,Vỹ Dạ,2025-11-15 20:00,1.602999904
TP Đà Nẵng | An Hải,TP Đà Nẵng,An Hải,2025-11-15 20:00,1.029282042
TP Đà Nẵng | Duy Nghĩa,TP Đà Nẵng,Duy Nghĩa,2025-11-15 20:00,2.642705914
TP Đà Nẵng | Duy Xuyên,TP Đà Nẵng,Duy Xuyên,2025-11-15 20:00,1.542595422
TP Đà Nẵng | Hội An,TP Đà Nẵng,Hội An,2025-11-15 20:00,1.672343265
TP Đà Nẵng | Hội An Tây,TP Đà Nẵng,Hội An Tây,2025-11-15 20:00,1.017781507
TP Đà Nẵng | Hội An Đông,TP Đà Nẵng,Hội An Đông,2025-11-15 20:00,1.785142214
TP Đà Nẵng | Nam Phước,TP Đà Nẵng,Nam Phước,2025-11-15 20:00,1.777773082
TP Đà Nẵng | Nông Sơn,TP Đà Nẵng,Nông Sơn,2025-11-15 20:00,4.522160586
TP Đà Nẵng | Phú Thuận,TP Đà Nẵng,Phú Thuận,2025-11-15 20:00,1.474508246
TP Đà Nẵng | Quế Phước,TP Đà Nẵng,Quế Phước,2025-11-15 20:00,2.082066139
TP Đà Nẵng | Quế Sơn,TP Đà Nẵng,Quế Sơn,2025-11-15 20:00,1.282798755
TP Đà Nẵng | Quế Sơn Trung,TP Đà Nẵng,Quế Sơn Trung,2025-11-15 20:00,1.792034779
TP Đà Nẵng | Sơn Trà,TP Đà Nẵng,Sơn Trà,2025-11-15 20:00,2.786589832
TP Đà Nẵng | Thu Bồn,TP Đà Nẵng,Thu Bồn,2025-11-15 20:00,1.665178376
TP Đà Nẵng | Thăng An,TP Đà Nẵng,Thăng An,2025-11-15 20:00,2.799980961
TP Đà Nẵng | Thăng Bình,TP Đà Nẵng,Thăng Bình,2025-11-15 20:00,1.81960868
TP Đà Nẵng | Thăng Trường,TP Đà Nẵng,Thăng Trường,2025-11-15 20:00,1.037558136
TP Đà Nẵng | Thăng Điền,TP Đà Nẵng,Thăng Điền,2025-11-15 20:00,1.056716436
TP Đà Nẵng | Tân Hiệp,TP Đà Nẵng,Tân Hiệp,2025-11-15 20:00,1.730751377
TP Đà Nẵng | Xuân Phú,TP Đà Nẵng,Xuân Phú,2025-11-15 20:00,2.234276027
TP Huế | A Lưới 4,TP Huế,A Lưới 4,2025-11-15 21:00,1.928451287
TP Huế | A Lưới 5,TP Huế,A Lưới 5,2025-11-15 21:00,1.878405472
TP Huế | An Cựu,TP Huế,An Cựu,2025-11-15 21:00,1.632423134
TP Huế | Bình Điền,TP Huế,Bình Điền,2025-11-15 21:00,1.495152784
TP Huế | Chân Mây - Lăng Cô,TP Huế,Chân Mây - Lăng Cô,2025-11-15 21:00,1.050949493
TP Huế | Dương Nỗ,TP Huế,Dương Nỗ,2025-11-15 21:00,1.648610342
TP Huế | Hóa Châu,TP Huế,Hóa Châu,2025-11-15 21:00,1.141025178
TP Huế | Hưng Lộc,TP Huế,Hưng Lộc,2025-11-15 21:00,1.901815517
TP Huế | Hương An,TP Huế,Hương An,2025-11-15 21:00,1.875568733
TP Huế | Hương Thủy,TP Huế,Hương Thủy,2025-11-15 21:00,2.194476722
TP Huế | Hương Trà,TP Huế,Hương Trà,2025-11-15 21:00,1.499177531
TP Huế | Khe Tre,TP Huế,Khe Tre,2025-11-15 21:00,2.630374832
TP Huế | Kim Long,TP Huế,Kim Long,2025-11-15 21:00,1.915564323
TP Huế | Kim Trà,TP Huế,Kim Trà,2025-11-15 21:00,1.594664143
TP Huế | Long Quảng,TP Huế,Long Quảng,2025-11-15 21:00,1.639673679
TP Huế | Lộc An,TP Huế,Lộc An,2025-11-15 21:00,3.519312408
TP Huế | Mỹ Thượng,TP Huế,Mỹ Thượng,2025-11-15 21:00,1.936767187
